emoji,name,group,subgroup,literal,clarity,keep
😀,grinning face,Smileys & Emotion,face-smiling,grin,,
😃,grinning face with big eyes,Smileys & Emotion,face-smiling,grin,,
😄,grinning face with smiling eyes,Smileys & Emotion,face-smiling,grin,,
😁,beaming face with smiling eyes,Smileys & Emotion,face-smiling,beam,,
😆,grinning squinting face,Smileys & Emotion,face-smiling,laugh,,
😅,grinning face with sweat,Smileys & Emotion,face-smiling,nervous-laugh,,
🤣,rolling on the floor laughing,Smileys & Emotion,face-smiling,rofl,,
😂,face with tears of joy,Smileys & Emotion,face-smiling,laugh,,
🙂,slightly smiling face,Smileys & Emotion,face-smiling,smile,,
🙃,upside-down face,Smileys & Emotion,face-smiling,upside-down,,
🫠,melting face,Smileys & Emotion,face-smiling,melt,,
😉,winking face,Smileys & Emotion,face-smiling,wink,,
😊,smiling face with smiling eyes,Smileys & Emotion,face-smiling,smile,,
😇,smiling face with halo,Smileys & Emotion,face-smiling,angel,,
🥰,smiling face with hearts,Smileys & Emotion,face-affection,love,,
😍,smiling face with heart-eyes,Smileys & Emotion,face-affection,heart-eyes,,
🤩,star-struck,Smileys & Emotion,face-affection,starstruck,,
😘,face blowing a kiss,Smileys & Emotion,face-affection,kiss,,
😗,kissing face,Smileys & Emotion,face-affection,kiss,,
☺️,smiling face,Smileys & Emotion,face-affection,smile,,
😚,kissing face with closed eyes,Smileys & Emotion,face-affection,kiss,,
😙,kissing face with smiling eyes,Smileys & Emotion,face-affection,kiss,,
🥲,smiling face with tear,Smileys & Emotion,face-affection,tear-smile,,
😋,face savoring food,Smileys & Emotion,face-tongue,yummy,,
😛,face with tongue,Smileys & Emotion,face-tongue,tongue,,
😜,winking face with tongue,Smileys & Emotion,face-tongue,wink-tongue,,
🤪,zany face,Smileys & Emotion,face-tongue,zany,,
😝,squinting face with tongue,Smileys & Emotion,face-tongue,tongue-squint,,
🤑,money-mouth face,Smileys & Emotion,face-tongue,money,,
🤗,smiling face with open hands,Smileys & Emotion,face-hand,hug,,
🤭,face with hand over mouth,Smileys & Emotion,face-hand,gasp,,
🫢,face with open eyes and hand over mouth,Smileys & Emotion,face-hand,shock,,
