lemma,status,emoji,literal,clarity,source,notes
other,redundant,,,,lemma-map,→ choose
first,redundant,,,,lemma-map,→ win
mean,redundant,,,,lemma-map,→ idea
last,redundant,,,,lemma-map,→ end
really,redundant,,,,lemma-map,→ important
meet,redundant,,,,lemma-map,→ agree
talk,redundant,,,,lemma-map,→ say
put,redundant,,,,lemma-map,→ submit
country,redundant,,,,lemma-map,→ world
live,redundant,,,,lemma-map,→ life
week,redundant,,,,lemma-map,→ year
include,redundant,,,,lemma-map,→ add
course,redundant,,,,lemma-map,→ learn
report,redundant,,,,lemma-map,→ news
group,redundant,,,,lemma-map,→ people
case,redundant,,,,lemma-map,→ document
let,redundant,,,,lemma-map,→ open
keep,redundant,,,,lemma-map,→ safe
system,redundant,,,,lemma-map,→ use
question,redundant,,,,lemma-map,→ ask
big,redundant,,,,lemma-map,→ large
study,redundant,,,,lemma-map,→ learn
begin,redundant,,,,lemma-map,→ start
since,redundant,,,,lemma-map,→ wait
turn,redundant,,,,lemma-map,→ change
bring,redundant,,,,lemma-map,→ get
early,redundant,,,,lemma-map,→ morning
state,redundant,,,,lemma-map,→ government
area,redundant,,,,lemma-map,→ map
provide,redundant,,,,lemma-map,→ give
month,redundant,,,,lemma-map,→ year
business,redundant,,,,lemma-map,→ work
issue,redundant,,,,lemma-map,→ problem
market,redundant,,,,lemma-map,→ buy
pay,redundant,,,,lemma-map,→ spend
build,redundant,,,,lemma-map,→ make
hold,redundant,,,,lemma-map,→ take
second,redundant,,,,lemma-map,→ two
job,redundant,,,,lemma-map,→ work
away,redundant,,,,lemma-map,→ travel
example,redundant,,,,lemma-map,→ solution
offer,redundant,,,,lemma-map,→ give
close,redundant,,,,lemma-map,→ safe
program,redundant,,,,lemma-map,→ computer
lead,redundant,,,,lemma-map,→ leader
understand,redundant,,,,lemma-map,→ know
far,redundant,,,,lemma-map,→ space
today,redundant,,,,lemma-map,→ year
hour,redundant,,,,lemma-map,→ now
face,redundant,,,,lemma-map,→ happy
hope,redundant,,,,lemma-map,→ want
cost,redundant,,,,lemma-map,→ price
room,redundant,,,,lemma-map,→ comfortable
reason,redundant,,,,lemma-map,→ know
head,redundant,,,,lemma-map,→ who
level,redundant,,,,lemma-map,→ score
member,redundant,,,,lemma-map,→ identify
able,redundant,,,,lemma-map,→ strong
support,redundant,,,,lemma-map,→ help
line,redundant,,,,lemma-map,→ paper
present,redundant,,,,lemma-map,→ give
side,redundant,,,,lemma-map,→ between
term,redundant,,,,lemma-map,→ note
least,redundant,,,,lemma-map,→ calculate
age,redundant,,,,lemma-map,→ cake
speak,redundant,,,,lemma-map,→ say
process,redundant,,,,lemma-map,→ use
public,redundant,,,,lemma-map,→ people
possible,redundant,,,,lemma-map,→ maybe
actually,redundant,,,,lemma-map,→ true
view,redundant,,,,lemma-map,→ see
together,redundant,,,,lemma-map,→ friend
consider,redundant,,,,lemma-map,→ idea
local,redundant,,,,lemma-map,→ place
control,redundant,,,,lemma-map,→ use
concern,redundant,,,,lemma-map,→ worry
product,redundant,,,,lemma-map,→ tool
lose,redundant,,,,lemma-map,→ fail
continue,redundant,,,,lemma-map,→ fast
rate,redundant,,,,lemma-map,→ score
expect,redundant,,,,lemma-map,→ wait
effect,redundant,,,,lemma-map,→ happen
sort,redundant,,,,lemma-map,→ different
ever,redundant,,,,lemma-map,→ all
cause,redundant,,,,lemma-map,→ connect
fall,redundant,,,,lemma-map,→ fail
deal,redundant,,,,lemma-map,→ agree
allow,redundant,,,,lemma-map,→ open
soon,redundant,,,,lemma-map,→ fast
base,redundant,,,,lemma-map,→ wall
probably,redundant,,,,lemma-map,→ maybe
suggest,redundant,,,,lemma-map,→ solution
center,redundant,,,,lemma-map,→ target
grow,redundant,,,,lemma-map,→ life
mother,redundant,,,,lemma-map,→ lady
walk,redundant,,,,lemma-map,→ go
matter,redundant,,,,lemma-map,→ law
mind,redundant,,,,lemma-map,→ know
force,redundant,,,,lemma-map,→ strong
light,redundant,,,,lemma-map,→ traffic
develop,redundant,,,,lemma-map,→ life
remember,redundant,,,,lemma-map,→ know
bit,redundant,,,,lemma-map,→ part
share,redundant,,,,lemma-map,→ agree
real,redundant,,,,lemma-map,→ true
figure,redundant,,,,lemma-map,→ calculate
letter,redundant,,,,lemma-map,→ word
decide,redundant,,,,lemma-map,→ know
language,redundant,,,,lemma-map,→ word
subject,redundant,,,,lemma-map,→ learn
class,redundant,,,,lemma-map,→ lesson
development,redundant,,,,lemma-map,→ life
town,redundant,,,,lemma-map,→ city
minute,redundant,,,,lemma-map,→ moment
ago,redundant,,,,lemma-map,→ now
remain,redundant,,,,lemma-map,→ harbor
color,redundant,,,,lemma-map,→ art
involve,redundant,,,,lemma-map,→ join
reach,redundant,,,,lemma-map,→ come
social,redundant,,,,lemma-map,→ people
period,redundant,,,,lemma-map,→ year
history,redundant,,,,lemma-map,→ story
create,redundant,,,,lemma-map,→ make
sound,redundant,,,,lemma-map,→ loud
political,redundant,,,,lemma-map,→ vote
receive,redundant,,,,lemma-map,→ get
policy,redundant,,,,lemma-map,→ story
further,redundant,,,,lemma-map,→ fast
body,redundant,,,,lemma-map,→ someone
require,redundant,,,,lemma-map,→ need
general,redundant,,,,lemma-map,→ world
appear,redundant,,,,lemma-map,→ seem
team,redundant,,,,lemma-map,→ people
individual,redundant,,,,lemma-map,→ someone
full,redundant,,,,lemma-map,→ lot
sense,redundant,,,,lemma-map,→ feel
rule,redundant,,,,lemma-map,→ story
produce,redundant,,,,lemma-map,→ make
short,redundant,,,,lemma-map,→ long
research,redundant,,,,lemma-map,→ test
cover,redundant,,,,lemma-map,→ protect
position,redundant,,,,lemma-map,→ place
near,redundant,,,,lemma-map,→ place
situation,redundant,,,,lemma-map,→ worry
staff,redundant,,,,lemma-map,→ worker
activity,redundant,,,,lemma-map,→ run
shop,redundant,,,,lemma-map,→ buy
major,redundant,,,,lemma-map,→ great
design,redundant,,,,lemma-map,→ art
event,redundant,,,,lemma-map,→ happen
special,redundant,,,,lemma-map,→ new
condition,redundant,,,,lemma-map,→ temperature
carry,redundant,,,,lemma-map,→ get
father,redundant,,,,lemma-map,→ guy
decision,redundant,,,,lemma-map,→ know
table,redundant,,,,lemma-map,→ dinner
certain,redundant,,,,lemma-map,→ sure
main,redundant,,,,lemma-map,→ great
die,redundant,,,,lemma-map,→ death
describe,redundant,,,,lemma-map,→ tell
available,redundant,,,,lemma-map,→ sure
especially,redundant,,,,lemma-map,→ particular
rise,redundant,,,,lemma-map,→ increase
community,redundant,,,,lemma-map,→ people
role,redundant,,,,lemma-map,→ perform
difficult,redundant,,,,lemma-map,→ hard
detail,redundant,,,,lemma-map,→ find
difference,redundant,,,,lemma-map,→ different
action,redundant,,,,lemma-map,→ run
eat,redundant,,,,lemma-map,→ food
step,redundant,,,,lemma-map,→ go
date,redundant,,,,lemma-map,→ year
