lemma,literal
accessibility,wheelchair
account,ledger
acrobat,cartwheel
add,plus
address,email
afraid,fear
again,repeat
agent,detective
agree,handshake
ahead,forward
air,wind
album,cd
animal,paw-prints
announce,megaphone
approximately,dash-wavy
art,palette
ashes,urn
ask,question-red
astronomy,telescope
attach,paperclip
attitude,smirk
aviator,pilot
bad,thumbs-down
bag,handbag
bar,beer
bathe,shower
bathroom,toilet
beat,drum
beautiful,flower
become,butterfly
believe,pray
bike,bicycle
birth,pregnant
bite,lip-bite
block,black-square
blood,blood-drop
blow,blow-kiss
border,passport-control
bored,yawn
bottle,baby-bottle
break,broken-heart
breathe,lungs
bridge,bridge-night
buy,cart
cable,cable-car
cafe,coffee
cake,birthday-cake
calculate,abacus
call,phone
camp,tent
cardiac,heart
catch,fishing
celebrate,party-popper
cell,microbe
cent,coin
change,refresh
characteristic,fingerprint
chest,treasure-chest
chill,cool
choose,option
chop,axe
city,cityscape
clean,soap
clever,owl
click,computer-mouse
climb,climbing
clothes,womans-clothes
combat,fight
come,arrival
comfortable,couch-lamp
company,office
computer,laptop
connect,chains
cream,ice-cream
custom,customs
cut,scissors
dance,dancing
dark,night
daughter,girl
day,sun
dear,love
death,skull
defend,shield
diaper,baby-changing
different,shuffle
dinner,plate
dirty,poop
dish,petri-dish
disorder,dizzy
djinn,genie
document,file-folder
downward,down
draw,pencil
drink,tropical-drink
drinking,drinking-water
drive,car
dry,desert
easy,ok
edge,knife
eight,8
elves,elf
embarrassment,facepalm
empty,hole
end,hourglass-done
engine,fire-engine
engineer,technologist
equal,equals
evil,devil
examine,microscope
exchange,currency-exchange
experience,older-person
extinguish,extinguisher
fact,bookmark-tab
fail,chart-down
fan,hand-fan
farm,farmer
fast,fast-forward
feel,heartbeat
field,field-hockey
find,magnify
finger,middle-finger
five,5
fix,mechanic
flat,flat-shoe
float,levitate
floor,ladder
follow,footprints
food,hamburger
footnote,asterisk
forest,tree
fortune,fortune-cookie
four,4
free,dove
friend,holding-hands
fruit,apple
fuel,gas-pump
funeral,coffin
funny,laugh
furniture,chair
future,crystal-ball
game,video-game
gather,basket
gene,dna
get,package
give,wrapped-gift
glass,wine
go,walking
god,om
good,correct
government,classical-building
grandmother,old-woman
grass,herb
grave,headstone
